player_id,player_name,season,team,age,games,targets,team_targets,target_share,fantasy_points_ppr,fantasy_ppg,positional_finish,target_share_bucket
00-0030564,DeAndre Hopkins,2017,HOU,25.0,15.0,174,516,0.3372093023255814,309.8,20.653333333333332,2.0,30%+
00-0030279,Keenan Allen,2017,LAC,25.0,16.0,159,573,0.2774869109947644,278.2,17.3875,3.0,25-30%
00-0022921,Larry Fitzgerald,2017,ARI,34.0,16.0,161,592,0.2719594594594595,261.44,16.34,4.0,25-30%
00-0031382,Jarvis Landry,2017,MIA,25.0,16.0,161,588,0.27380952380952384,260.0,16.25,5.0,25-30%
00-0032765,Michael Thomas,2017,NO,24.0,16.0,149,529,0.28166351606805295,258.5,16.15625,6.0,25-30%
00-0027944,Julio Jones,2017,ATL,28.0,16.0,148,517,0.2862669245647969,251.89999999999998,15.743749999999999,7.0,25-30%
00-0033040,Tyreek Hill,2017,KC,23.0,15.0,105,528,0.19886363636363635,245.20000000000002,16.346666666666668,8.0,15-20%
00-0030035,Adam Thielen,2017,MIN,27.0,16.0,142,521,0.272552783109405,239.7,14.98125,9.0,25-30%
00-0027942,A.J. Green,2017,CIN,29.0,16.0,143,488,0.2930327868852459,226.8,14.175,10.0,25-30%
00-0029293,Marvin Jones,2017,DET,27.0,16.0,107,565,0.18938053097345134,225.1,14.06875,11.0,15-20%
00-0027891,Golden Tate,2017,DET,29.0,16.0,120,565,0.21238938053097345,224.5,14.03125,12.0,20-25%
00-0028434,Doug Baldwin,2017,SEA,29.0,16.0,116,526,0.22053231939163498,223.3,13.95625,13.0,20-25%
00-0031381,Davante Adams,2017,GB,25.0,14.0,117,554,0.2111913357400722,222.5,15.892857142857142,14.0,20-25%
00-0031236,Brandin Cooks,2017,NE,24.0,16.0,114,584,0.1952054794520548,221.2,13.825,15.0,15-20%
00-0027874,Demaryius Thomas,2017,DEN,30.0,16.0,140,551,0.2540834845735027,205.9,12.86875,16.0,25-30%
00-0031408,Mike Evans,2017,TB,24.0,15.0,136,596,0.22818791946308725,203.1,13.54,17.0,20-25%
